sexe_cm,age_cm,instruction_cm,taille_menage,ratio_dependance,taux_scolarisation,statut_matrimonial,rural,departement,indice_logement,eau_amelioree,electricite,toilette_amelioree,temps_eau,nb_contributeurs,activite_principale,log_revenu,diversification_revenus,contribution_principale,credit,log_transfert_migrants,a_transfert,log_depenses_alim,pratique_agriculture,securite_fonciere,femmes_proprietaires,superficie_emblavee,cultures_irriguees,semences_ameliorees,mois_couverture_stocks,proprietaire_animaux,tlu,choc_subi,type_choc,capacite_relevement,vente_actifs_productifs,assistance_recue,Y,Y_strict,Y_large,grappe,weight,commune
1.0,45,0.0,9,2.0,1.0,2,1.0,1,3,1.0,1.0,0.0,3,2.0,Agriculture,12.430011880204402,3,50,0.0,0.0,0.0,9.857495968685136,1.0,1.0,0.0,6.0,0.0,1.0,12.0,1.0,11.399999999999999,1.0,Sanitaire,2.0,0.0,0.0,0.0,0.0,1.0,1,85.5530207373985,11
1.0,50,0.0,14,1.0,1.0,2,1.0,1,3,0.0,0.0,0.0,3,2.0,Agriculture,13.304686600863562,2,70,0.0,0.0,0.0,9.433563920090563,1.0,1.0,0.0,6.0,0.0,1.0,12.0,1.0,2.1,1.0,Economique,2.0,0.0,0.0,0.0,0.0,0.0,1,85.5530207373985,11
1.0,42,0.0,10,1.0,1.0,2,1.0,1,3,1.0,1.0,0.0,3,3.0,Agriculture,12.206572520571825,2,60,1.0,0.0,0.0,9.798182590890704,1.0,1.0,0.0,5.0,0.0,1.0,12.0,1.0,16.2,0.0,Aucun,4.0,0.0,0.0,0.0,0.0,0.0,1,85.5530207373985,11
1.0,52,0.0,13,0.8571428571428571,1.0,2,1.0,1,3,1.0,0.0,0.0,2,2.0,Agriculture,13.304686600863562,3,60,1.0,4.605170185988092,1.0,10.5506169722625,1.0,1.0,1.0,2.0,0.0,0.0,7.0,1.0,16.75,1.0,Sanitaire,2.0,1.0,1.0,0.0,0.0,1.0,1,85.5530207373985,11
1.0,40,0.0,6,1.0,1.0,2,1.0,1,3,1.0,1.0,0.0,2,1.0,Salarie_travail,11.695255355062795,1,100,0.0,0.0,0.0,10.32551474894327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,4.0,0.0,0.0,0.0,0.0,0.0,1,85.5530207373985,11
0.0,52,0.0,2,0.0,1.0,5,1.0,1,2,1.0,0.0,0.0,2,1.0,Commerce,9.90353755128617,1,100,0.0,0.0,0.0,7.244941546337007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7000000000000001,0.0,Aucun,4.0,0.0,0.0,0.0,0.0,1.0,1,85.5530207373985,11
1.0,29,0.0,4,1.0,1.0,2,1.0,1,2,0.0,1.0,0.0,2,1.0,Agriculture,5.293304824724492,2,50,0.0,0.0,0.0,8.268988209506656,1.0,1.0,0.0,6.0,0.0,0.0,12.0,1.0,3.75,1.0,Sanitaire,3.0,0.0,0.0,0.0,0.0,1.0,1,85.5530207373985,11
1.0,35,0.0,2,0.0,1.0,1,1.0,1,2,1.0,1.0,0.0,2,1.0,Commerce,4.605170185988092,1,100,0.0,0.0,0.0,11.023551435004947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Aucun,4.0,0.0,0.0,0.0,0.0,0.0,1,85.5530207373985,11
1.0,25,0.0,1,0.0,1.0,1,1.0,1,2,1.0,1.0,0.0,2,1.0,Commerce,4.605170185988092,1,100,0.0,0.0,0.0,10.729875458480967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sanitaire,3.0,0.0,0.0,0.0,0.0,0.0,1,85.5530207373985,11
1.0,38,0.0,6,1.0,1.0,2,1.0,1,2,0.0,1.0,0.0,2,1.0,Agriculture,4.605170185988092,1,100,0.0,0.0,0.0,8.699681400989514,1.0,1.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,1.0,Sanitaire,3.0,0.0,0.0,0.0,0.0,0.0,1,85.5530207373985,11
1.0,50,0.0,19,0.5833333333333334,0.6,2,1.0,1,2,1.0,1.0,0.0,3,5.0,Agriculture,4.605170185988092,1,50,0.0,0.0,0.0,10.781058245898533,1.0,1.0,0.0,6.0,0.0,0.0,12.0,1.0,9.05,1.0,Sanitaire,2.0,0.0,0.0,0.0,0.0,0.0,1,85.5530207373985,11
1.0,42,0.0,9,1.25,0.75,2,1.0,1,3,0.0,1.0,0.0,2,2.0,Agriculture,5.293304824724492,2,6,0.0,0.0,0.0,9.441531454869693,1.0,1.0,0.0,6.0,0.0,0.0,12.0,1.0,8.35,1.0,Climatique,2.0,1.0,0.0,0.0,0.0,1.0,1,85.5530207373985,11
1.0,78,0.0,1,1.0,1.0,5,1.0,1,3,1.0,1.0,0.0,3,0.0,Autre,0.0,1,0,0.0,0.0,0.0,7.937731775260109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aucun,4.0,0.0,0.0,0.0,0.0,1.0,1,85.5530207373985,11
1.0,69,0.0,1,1.0,1.0,5,1.0,1,1,1.0,0.0,0.0,1,0.0,Transferts_aides,0.0,1,0,0.0,0.0,0.0,9.200391041122515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.05,0.0,Aucun,4.0,0.0,0.0,0.0,0.0,0.0,1,85.5530207373985,11
