commune,proba_moy,n,nom_commune
11,0.0878689168616409,358.0,Banikoara
12,0.0664277400985081,180.0,Gogounou
13,0.06668178031819669,259.0,Kandi
14,0.12927487574822075,100.0,Karimama
15,0.09548667483352134,239.0,Malanville
16,0.07544810252177431,140.0,Segbana
21,0.3926572658798378,137.0,Boukoumbé
22,0.22522255569867922,120.0,Cobly
23,0.12253192434798574,160.0,Kérou
24,0.12809117988718385,180.0,Kouandé
25,0.21461357470213402,180.0,Matéri
26,0.18777637974592398,160.0,Natitingou
27,0.10270729624336004,120.0,Pehonko
28,0.23064184210384117,120.0,Tanguiéta
29,0.39250552474859096,60.0,Toucountouna
31,0.04143700155529077,639.0,Abomey-Calavi
32,0.12371658977424382,140.0,Allada
33,0.10471160001430477,100.0,Kpomassè
34,0.051939260407072196,180.0,Ouidah
35,0.06880057316435421,120.0,Sô-Ava
36,0.12040720580993594,100.0,Toffo
37,0.09205691228000631,100.0,Tori-Bossito
38,0.16337675442151753,120.0,Zè
41,0.07815351102783162,198.0,Bembéréké
42,0.0847841013419059,238.0,Kalalé
43,0.1014890327113049,178.0,N'Dali
44,0.09154434745021585,216.0,Nikki
45,0.06512904514551536,367.0,Parakou
46,0.07192360662741774,137.0,Pèrèrè
47,0.0467739378878916,136.0,Sinendé
48,0.0847339812942118,319.0,Tchaourou
51,0.14578682345041877,160.0,Bantè
52,0.11566716597091309,179.0,Dassa-Zoumé
53,0.15441942304583586,180.0,Glazoué
54,0.16312296616587718,220.0,Ouèssè
55,0.11156922464649546,220.0,Savalou
56,0.16664840234757725,140.0,Savè
61,0.16933156371900332,260.0,Aplahoué
62,0.17449864664892528,200.0,Djakotomey
63,0.16559180636042495,160.0,Dogbo-Tota
64,0.16897673282540404,200.0,Klouékanmè
65,0.1886505914931056,180.0,Lalo
66,0.17793357712626534,140.0,Toviklin
71,0.06473969848609074,220.0,Bassila
72,0.08586370441862115,120.0,Copargo
73,0.04826951157634187,360.0,Djougou
74,0.05978932584365047,140.0,Ouaké
81,0.016528582180978076,1118.0,Cotonou
91,0.04740498850713995,100.0,Athiémé
92,0.12105868970273606,160.0,Bopa
93,0.046005574775482956,119.0,Comè
94,0.04244759153838184,100.0,Grand-Popo
95,0.05749689254294424,160.0,Houéyogbé
96,0.043061505664181515,180.0,Lokossa
101,0.12202703440595958,160.0,Adjarra
102,0.12276899570074679,120.0,Adjohoun
103,0.09049609795762537,80.0,Aguégués
104,0.0857536815083205,200.0,Akpro-Missérété
105,0.10510137991522532,220.0,Avrankou
106,0.09468268442287678,80.0,Bonou
107,0.12273428443421736,160.0,Dangbo
108,0.039362974733816794,438.0,Porto-Novo
109,0.056158003618384016,359.0,Sèmè-Kpodji
111,0.11713669288063445,180.0,Adja-Ouèrè
112,0.09871982062079747,160.0,Ifangni
113,0.10253026215035972,240.0,Kétou
114,0.0888595128549565,200.0,Pobè
115,0.11276636237532224,180.0,Sakété
121,0.07782167106235487,160.0,Abomey
122,0.1924516754529867,120.0,Agbangnizoun
123,0.05490210320915017,279.0,Bohicon
124,0.12666058391332627,100.0,Covè
125,0.14904344160940997,200.0,Djidja
126,0.13475092638156524,100.0,Ouinhi
127,0.1517901560025556,140.0,Zangnanado
128,0.14200380960742945,119.0,Za-Kpota
129,0.11746306606462759,140.0,Zogbodomey
